Date,Time,All,N,S
Sunday 1 April 2018,00:00,1721,598,1123
,01:00,1018,389,629
,02:00,564,245,319
,03:00,683,428,255
,04:00,1113,779,334
,05:00,1271,764,507
,06:00,1352,716,636
,07:00,1810,1064,746
,08:00,2230,1220,1010
,09:00,3162,1633,1529
,10:00,4479,2161,2318
,11:00,6134,3056,3078
,12:00,8119,4242,3877
,13:00,9013,4766,4247
,14:00,8462,4453,4009
,15:00,7039,3530,3509
,16:00,6252,3051,3201
,17:00,6063,2946,3117
,18:00,7172,3079,4093
,19:00,5807,2778,3029
,20:00,4642,2292,2350
,21:00,3496,1642,1854
,22:00,2419,1154,1265
,23:00,1851,816,1035
,Total,95872,47802,48070
Monday 2 April 2018,00:00,1383,484,899
,01:00,1045,336,709
,02:00,576,265,311
,03:00,707,433,274
,04:00,1263,925,338
,05:00,1592,944,648
,06:00,1950,1044,906
,07:00,2441,1353,1088
,08:00,2642,1362,1280
,09:00,3699,1987,1712
,10:00,5099,2671,2428
,11:00,6919,3429,3490
,12:00,8718,4164,4554
,13:00,9833,4940,4893
,14:00,9785,5029,4756
,15:00,9173,4852,4321
,16:00,8909,4687,4222
,17:00,8136,4300,3836
,18:00,7707,4100,3607
,19:00,6605,3392,3213
,20:00,5313,2650,2663
,21:00,3739,1777,1962
,22:00,2574,1215,1359
,23:00,1706,762,944
,Total,111514,57101,54413
Tuesday 3 April 2018,00:00,1304,447,857
,01:00,1018,271,747
,02:00,579,228,351
,03:00,615,394,221
,04:00,1501,1117,384
,05:00,2849,1648,1201
,06:00,6765,3334,3431
,07:00,10920,5626,5294
,08:00,10364,5999,4365
,09:00,8908,4620,4288
,10:00,8455,4449,4006
,11:00,9063,4510,4553
,12:00,9756,4913,4843
,13:00,9976,5085,4891
,14:00,10342,5222,5120
,15:00,10699,5342,5357
,16:00,12493,6185,6308
,17:00,12249,6278,5971
,18:00,9794,5037,4757
,19:00,7363,3818,3545
,20:00,5238,2517,2721
,21:00,3725,1706,2019
,22:00,2849,1353,1496
,23:00,2282,939,1343
,Total,159107,81038,78069
Wednesday 4 April 2018,00:00,1515,498,1017
,01:00,876,240,636
,02:00,484,210,274
,03:00,707,488,219
,04:00,1556,1070,486
,05:00,2823,1661,1162
,06:00,6831,3367,3464
,07:00,10821,5694,5127
,08:00,10675,5927,4748
,09:00,9403,4914,4489
,10:00,8722,4426,4296
,11:00,9147,4685,4462
,12:00,9839,4925,4914
,13:00,10263,5241,5022
,14:00,10118,5096,5022
,15:00,11177,5433,5744
,16:00,12843,6265,6578
,17:00,12418,6279,6139
,18:00,10017,5265,4752
,19:00,7341,3611,3730
,20:00,5088,2406,2682
,21:00,3734,1727,2007
,22:00,3075,1367,1708
,23:00,2306,905,1401
,Total,161779,81700,80079
Thursday 5 April 2018,00:00,1522,512,1010
,01:00,900,289,611
,02:00,549,224,325
,03:00,787,498,289
,04:00,1544,1060,484
,05:00,2498,1531,967
,06:00,6651,3152,3499
,07:00,11101,5841,5260
,08:00,10799,5883,4916
,09:00,9408,4744,4664
