day,month,time,location,direction,volume
7,2,100,Example,0,391
7,2,100,Example,1,484
7,2,200,Example,0,279
7,2,200,Example,1,271
7,2,300,Example,0,366
7,2,300,Example,1,260
7,2,400,Example,0,665
7,2,400,Example,1,325
7,2,500,Example,0,666
7,2,500,Example,1,471
7,2,600,Example,0,721
7,2,600,Example,1,608
7,2,700,Example,0,1117
7,2,700,Example,1,872
7,2,800,Example,0,1435
7,2,800,Example,1,1180
7,2,900,Example,0,2035
7,2,900,Example,1,1895
7,2,1000,Example,0,2751
7,2,1000,Example,1,2707
7,2,1100,Example,0,3389
7,2,1100,Example,1,3519
7,2,1200,Example,0,4102
7,2,1200,Example,1,4402
7,2,1300,Example,0,4878
7,2,1300,Example,1,4748
7,2,1400,Example,0,4864
7,2,1400,Example,1,4507
7,2,1500,Example,0,4506
7,2,1500,Example,1,4115
7,2,1600,Example,0,4246
7,2,1600,Example,1,4395
7,2,1700,Example,0,4413
7,2,1700,Example,1,4367
7,2,1800,Example,0,3956
7,2,1800,Example,1,3931
7,2,1900,Example,0,3299
7,2,1900,Example,1,3194
7,2,2000,Example,0,2599
7,2,2000,Example,1,2575
7,2,2100,Example,0,1863
7,2,2100,Example,1,2132
7,2,2200,Example,0,1051
7,2,2200,Example,1,1487
7,2,2300,Example,0,709
7,2,2300,Example,1,1033
1,2,0,Example,0,378
1,2,0,Example,1,726
1,2,100,Example,0,177
1,2,100,Example,1,337
1,2,200,Example,0,151
1,2,200,Example,1,174
1,2,300,Example,0,363
1,2,300,Example,1,176
1,2,400,Example,0,931
1,2,400,Example,1,359
1,2,500,Example,0,1654
1,2,500,Example,1,1056
1,2,600,Example,0,3063
1,2,600,Example,1,3247
1,2,700,Example,0,5836
1,2,700,Example,1,5401
1,2,800,Example,0,5852
1,2,800,Example,1,4622
1,2,900,Example,0,4836
1,2,900,Example,1,4349
1,2,1000,Example,0,4021
1,2,1000,Example,1,3742
1,2,1100,Example,0,3950
1,2,1100,Example,1,3582
1,2,1200,Example,0,3884
1,2,1200,Example,1,3753
1,2,1300,Example,0,4033
1,2,1300,Example,1,4095
1,2,1400,Example,0,4208
1,2,1400,Example,1,4200
1,2,1500,Example,0,4415
1,2,1500,Example,1,4656
1,2,1600,Example,0,5674
1,2,1600,Example,1,5932
1,2,1700,Example,0,5641
1,2,1700,Example,1,5919
1,2,1800,Example,0,4481
1,2,1800,Example,1,4406
1,2,1900,Example,0,3032
1,2,1900,Example,1,3030
1,2,2000,Example,0,2059
1,2,2000,Example,1,2311
1,2,2100,Example,0,1488
1,2,2100,Example,1,1918
1,2,2200,Example,0,1011
1,2,2200,Example,1,1374
1,2,2300,Example,0,624
1,2,2300,Example,1,758
2,2,0,Example,0,361
2,2,0,Example,1,595
2,2,100,Example,0,199
2,2,100,Example,1,465
2,2,200,Example,0,188
2,2,200,Example,1,186
2,2,300,Example,0,352
2,2,300,Example,1,200
2,2,400,Example,0,946
2,2,400,Example,1,371
2,2,500,Example,0,1579
2,2,500,Example,1,944
2,2,600,Example,0,2903
2,2,600,Example,1,3171
2,2,700,Example,0,5482
2,2,700,Example,1,5407
2,2,800,Example,0,6150
2,2,800,Example,1,4660
2,2,900,Example,0,5085
2,2,900,Example,1,4708
2,2,1000,Example,0,4065
2,2,1000,Example,1,3736
2,2,1100,Example,0,3913
2,2,1100,Example,1,3641
2,2,1200,Example,0,3854
2,2,1200,Example,1,3971
2,2,1300,Example,0,4231
2,2,1300,Example,1,4073
2,2,1400,Example,0,4191
2,2,1400,Example,1,4198
2,2,1500,Example,0,4804
2,2,1500,Example,1,4945
2,2,1600,Example,0,5901
2,2,1600,Example,1,5913
2,2,1700,Example,0,5847
2,2,1700,Example,1,5538
2,2,1800,Example,0,5000
2,2,1800,Example,1,4707
2,2,1900,Example,0,3349
2,2,1900,Example,1,3399
2,2,2000,Example,0,2278
2,2,2000,Example,1,2551
2,2,2100,Example,0,1626
2,2,2100,Example,1,2178
2,2,2200,Example,0,1215
2,2,2200,Example,1,1400
2,2,2300,Example,0,693
2,2,2300,Example,1,928
3,2,0,Example,0,385
3,2,0,Example,1,614
3,2,100,Example,0,187
3,2,100,Example,1,266
3,2,200,Example,0,202
3,2,200,Example,1,200
3,2,300,Example,0,328
3,2,300,Example,1,199
3,2,400,Example,0,865
3,2,400,Example,1,359
3,2,500,Example,0,1453
3,2,500,Example,1,901
3,2,600,Example,0,2821
3,2,600,Example,1,3043
3,2,700,Example,0,5610
3,2,700,Example,1,5390
3,2,800,Example,0,6061
3,2,800,Example,1,4808
3,2,900,Example,0,5203
3,2,900,Example,1,4671
3,2,1000,Example,0,4057
3,2,1000,Example,1,3682
3,2,1100,Example,0,3863
3,2,1100,Example,1,3835
3,2,1200,Example,0,3932
3,2,1200,Example,1,3982
3,2,1300,Example,0,4357
3,2,1300,Example,1,4287
3,2,1400,Example,0,4477
3,2,1400,Example,1,4197
3,2,1500,Example,0,4864
3,2,1500,Example,1,4891
3,2,1600,Example,0,6057
3,2,1600,Example,1,5857
3,2,1700,Example,0,5893
3,2,1700,Example,1,5766
3,2,1800,Example,0,4841
3,2,1800,Example,1,5221
3,2,1900,Example,0,3512
3,2,1900,Example,1,3678
3,2,2000,Example,0,2307
3,2,2000,Example,1,2607
3,2,2100,Example,0,1848
3,2,2100,Example,1,2266
3,2,2200,Example,0,1243
3,2,2200,Example,1,1531
3,2,2300,Example,0,720
3,2,2300,Example,1,994
4,2,0,Example,0,352
4,2,0,Example,1,531
4,2,100,Example,0,209
4,2,100,Example,1,257
4,2,200,Example,0,201
4,2,200,Example,1,213
4,2,300,Example,0,417
4,2,300,Example,1,222
4,2,400,Example,0,984
4,2,400,Example,1,408
4,2,500,Example,0,1365
4,2,500,Example,1,944
4,2,600,Example,0,2929
4,2,600,Example,1,3200
4,2,700,Example,0,6074
4,2,700,Example,1,4202
4,2,800,Example,0,6098
4,2,800,Example,1,4630
4,2,900,Example,0,4901
4,2,900,Example,1,5039
4,2,1000,Example,0,4205
4,2,1000,Example,1,3999
4,2,1100,Example,0,3906
4,2,1100,Example,1,3931
4,2,1200,Example,0,4073
4,2,1200,Example,1,4186
4,2,1300,Example,0,4439
4,2,1300,Example,1,4285
4,2,1400,Example,0,4454
4,2,1400,Example,1,4375
4,2,1500,Example,0,5084
4,2,1500,Example,1,5233
4,2,1600,Example,0,5989
4,2,1600,Example,1,6437
4,2,1700,Example,0,5983
4,2,1700,Example,1,6027
4,2,1800,Example,0,5107
4,2,1800,Example,1,4773
4,2,1900,Example,0,3654
4,2,1900,Example,1,3788
4,2,2000,Example,0,2567
4,2,2000,Example,1,2788
4,2,2100,Example,0,2020
4,2,2100,Example,1,2432
4,2,2200,Example,0,1290
4,2,2200,Example,1,1812
4,2,2300,Example,0,789
4,2,2300,Example,1,1004
5,2,0,Example,0,404
5,2,0,Example,1,867
5,2,100,Example,0,247
5,2,100,Example,1,304
5,2,200,Example,0,217
5,2,200,Example,1,174
5,2,300,Example,0,432
5,2,300,Example,1,217
5,2,400,Example,0,1028
5,2,400,Example,1,404
5,2,500,Example,0,1630
5,2,500,Example,1,979
5,2,600,Example,0,3026
5,2,600,Example,1,3152
5,2,700,Example,0,5981
5,2,700,Example,1,4963
5,2,800,Example,0,5835
5,2,800,Example,1,4729
5,2,900,Example,0,4639
5,2,900,Example,1,4470
5,2,1000,Example,0,4119
5,2,1000,Example,1,3883
5,2,1100,Example,0,4263
5,2,1100,Example,1,4095
5,2,1200,Example,0,4641
5,2,1200,Example,1,4637
5,2,1300,Example,0,4935
5,2,1300,Example,1,5099
5,2,1400,Example,0,5290
5,2,1400,Example,1,5478
5,2,1500,Example,0,5828
5,2,1500,Example,1,6108
5,2,1600,Example,0,6148
5,2,1600,Example,1,6490
5,2,1700,Example,0,5537
5,2,1700,Example,1,5627
5,2,1800,Example,0,4828
5,2,1800,Example,1,4400
5,2,1900,Example,0,3480
5,2,1900,Example,1,3722
5,2,2000,Example,0,2523
5,2,2000,Example,1,2616
5,2,2100,Example,0,1942
5,2,2100,Example,1,2196
5,2,2200,Example,0,1417
5,2,2200,Example,1,1789
5,2,2300,Example,0,1088
5,2,2300,Example,1,1293
6,2,0,Example,0,601
6,2,0,Example,1,1039
6,2,100,Example,0,362
6,2,100,Example,1,446
6,2,200,Example,0,295
6,2,200,Example,1,304
6,2,300,Example,0,411
6,2,300,Example,1,291
6,2,400,Example,0,851
6,2,400,Example,1,396
6,2,500,Example,0,967
6,2,500,Example,1,651
6,2,600,Example,0,1245
6,2,600,Example,1,1024
6,2,700,Example,0,1803
6,2,700,Example,1,1649
6,2,800,Example,0,2553
6,2,800,Example,1,2346
6,2,900,Example,0,3261
6,2,900,Example,1,3120
6,2,1000,Example,0,3715
6,2,1000,Example,1,3587
6,2,1100,Example,0,4244
6,2,1100,Example,1,4110
6,2,1200,Example,0,4470
6,2,1200,Example,1,4910
6,2,1300,Example,0,4907
6,2,1300,Example,1,4999
6,2,1400,Example,0,4511
6,2,1400,Example,1,4713
6,2,1500,Example,0,4089
6,2,1500,Example,1,3979
6,2,1600,Example,0,4076
6,2,1600,Example,1,4196
6,2,1700,Example,0,3754
6,2,1700,Example,1,3774
6,2,1800,Example,0,3333
6,2,1800,Example,1,3121
6,2,1900,Example,0,2530
6,2,1900,Example,1,2728
6,2,2000,Example,0,1707
6,2,2000,Example,1,1891
