Date,Time,All,N,S
Sunday 1 November 2015,00:00,1494,527,967
,01:00,786,356,430
,02:00,574,297,277
,03:00,668,396,272
,04:00,1047,719,328
,05:00,1319,793,526
,06:00,1643,868,775
,07:00,2172,1236,936
,08:00,2586,1343,1243
,09:00,4027,2106,1921
,10:00,5361,2623,2738
,11:00,6421,3256,3165
,12:00,8114,4038,4076
,13:00,9407,5085,4322
,14:00,9124,4845,4279
,15:00,8860,4535,4325
,16:00,8772,4308,4464
,17:00,8551,4348,4203
,18:00,7385,3707,3678
,19:00,5811,2974,2837
,20:00,4532,2214,2318
,21:00,3234,1572,1662
,22:00,2145,951,1194
,23:00,1484,599,885
,Total,105517,53696,51821
Monday 2 November 2015,00:00,1134,436,698
,01:00,915,259,656
,02:00,631,240,391
,03:00,573,351,222
,04:00,1329,943,386
,05:00,2746,1633,1113
,06:00,5755,2577,3178
,07:00,9578,5330,4248
,08:00,9107,6057,3050
,09:00,8996,4646,4350
,10:00,7488,3873,3615
,11:00,7306,3746,3560
,12:00,7676,3890,3786
,13:00,7849,4053,3796
,14:00,8199,4142,4057
,15:00,9230,4607,4623
,16:00,11212,5708,5504
,17:00,11552,5751,5801
,18:00,8612,4379,4233
,19:00,6383,2953,3430
,20:00,4288,1973,2315
,21:00,3172,1531,1641
,22:00,2517,1104,1413
,23:00,1551,751,800
,Total,137799,70933,66866
Tuesday 3 November 2015,00:00,1217,389,828
,01:00,616,182,434
,02:00,377,179,198
,03:00,486,328,158
,04:00,1312,898,414
,05:00,2389,1421,968
,06:00,5732,2548,3184
,07:00,9937,5348,4589
,08:00,10030,5965,4065
,09:00,9149,4945,4204
,10:00,7783,4050,3733
,11:00,7624,3934,3690
,12:00,7780,3917,3863
,13:00,8193,4203,3990
,14:00,8410,4183,4227
,15:00,9305,4688,4617
,16:00,11704,5710,5994
,17:00,11661,5882,5779
,18:00,9546,4839,4707
,19:00,6517,3289,3228
,20:00,4400,2105,2295
,21:00,3677,1629,2048
,22:00,2680,1259,1421
,23:00,1804,777,1027
,Total,142329,72668,69661
Wednesday 4 November 2015,00:00,1220,392,828
,01:00,477,203,274
,02:00,371,156,215
,03:00,530,327,203
,04:00,1146,785,361
,05:00,2166,1290,876
,06:00,5846,2695,3151
,07:00,10374,5905,4469
,08:00,9794,5901,3893
,09:00,8758,4480,4278
,10:00,7842,4116,3726
